scenario,objective_mode,algorithm,runs,successful_runs,failed_runs,skipped_runs,feasible_rate,prefix_preservation_rate,failure_recovery_rate,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max,final_completion_makespan_mean,final_completion_makespan_std,final_completion_makespan_min,final_completion_makespan_max,relative_makespan_increase_mean,relative_makespan_increase_std,relative_makespan_increase_min,relative_makespan_increase_max,replanning_time_ms_mean,replanning_time_ms_std,replanning_time_ms_min,replanning_time_ms_max,reassigned_tasks_mean,reassigned_tasks_std,reassigned_tasks_min,reassigned_tasks_max,changed_candidates_mean,changed_candidates_std,changed_candidates_min,changed_candidates_max,forced_candidate_changes_mean,forced_candidate_changes_std,forced_candidate_changes_min,forced_candidate_changes_max,changed_edges_mean,changed_edges_std,changed_edges_min,changed_edges_max,disruption_score_mean,disruption_score_std,disruption_score_min,disruption_score_max,accepted_candidates_mean,accepted_candidates_std,accepted_candidates_min,accepted_candidates_max,accepted_worse_candidates_mean,accepted_worse_candidates_std,accepted_worse_candidates_min,accepted_worse_candidates_max,best_updates_mean,best_updates_std,best_updates_min,best_updates_max
new_task_arrival,disruption_aware,dynamic_ails,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,127.12698602300668,2.993412366429277,124.413733870849,130.338124073865,0.0585780426297886,0.0249212183461153,0.0359878897500488,0.0853110874757423,1037.4362666666666,9.744638686135696,1028.6114,1047.8943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,1.1547005383792515,7.0,9.0,1.8414134553250368,0.2773363165608769,1.68128632721,2.16165384926999,2.0,2.6457513110645907,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.6457513110645907,0.0,5.0
new_task_arrival,minimum_makespan,dynamic_ails,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,124.30088809136767,0.709789472696151,123.664453451702,125.066335002826,0.03504539764084657,0.0059141940729692906,0.0297401731952022,0.0414220717212039,1051.2287,13.03989898848916,1037.3709,1063.2576,1.0,1.0,0.0,2.0,3.3333333333333335,1.5275252316519468,2.0,5.0,0.0,0.0,0.0,0.0,22.333333333333332,4.163331998932265,19.0,27.0,0.0,0.0,0.0,0.0,8.666666666666666,4.041451884327381,5.0,13.0,2.3333333333333335,1.5275252316519468,1.0,4.0,4.666666666666667,2.0816659994661326,3.0,7.0
robot_failure,disruption_aware,dynamic_ails,3,3,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,162.49837130111567,9.556704157019063,155.536893312279,173.39422745597,0.3531130835850757,0.07957148423396071,0.295149119534791,0.443834479738297,1017.1596666666666,6.600204816771399,1011.5837,1024.447,6.666666666666667,1.1547005383792515,6.0,8.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,11.333333333333334,4.163331998932265,8.0,16.0,19.535012568096935,4.176364735903564,16.33249575004,24.2587598770009,5.333333333333333,2.0816659994661326,3.0,7.0,1.6666666666666667,1.1547005383792515,1.0,3.0,2.3333333333333335,1.5275252316519468,1.0,4.0
robot_failure,minimum_makespan,dynamic_ails,3,3,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,159.455054226514,9.627566910331364,153.590290708174,170.56627797391,0.3277715759875377,0.080161584207107,0.278939842140202,0.420286458393739,1021.4555999999999,3.58872316708875,1018.3295,1025.3744,8.333333333333334,4.041451884327381,6.0,13.0,5.333333333333333,2.0816659994661326,3.0,7.0,0.0,0.0,0.0,0.0,26.666666666666668,4.163331998932265,22.0,30.0,0.0,0.0,0.0,0.0,12.333333333333334,3.511884584284246,9.0,16.0,2.0,0.0,2.0,2.0,8.0,3.4641016151377544,6.0,12.0
service_location_invalidation,disruption_aware,dynamic_ails,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,120.39975264913666,0.53325017855937,120.091880515,121.01549691741,0.002560868750927928,0.004435554788122825,-1.18333185010181e-16,0.00768260625278402,1016.2047333333334,13.253419960271863,1008.4915,1031.5083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,4.0,4.0,0.9607376845552581,4.573368026134729e-06,0.960735044119997,0.96074296542578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service_location_invalidation,minimum_makespan,dynamic_ails,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,120.39975264913666,0.53325017855937,120.091880515,121.01549691741,0.002560868750927928,0.004435554788122825,-1.18333185010181e-16,0.00768260625278402,1019.7162666666667,8.278613126202576,1010.2142,1025.372,0.0,0.0,0.0,0.0,2.6666666666666665,1.5275252316519468,1.0,4.0,1.0,0.0,1.0,1.0,15.333333333333334,1.1547005383792515,14.0,16.0,0.0,0.0,0.0,0.0,7.333333333333333,6.658328118479393,3.0,15.0,2.0,3.4641016151377544,0.0,6.0,3.0,1.0,2.0,4.0
