scale,scenario,algorithm,runs,successful_runs,failed_runs,skipped_runs,feasible_rate,prefix_preservation_rate,failure_recovery_rate,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max,final_completion_makespan_mean,final_completion_makespan_std,final_completion_makespan_min,final_completion_makespan_max,relative_makespan_increase_mean,relative_makespan_increase_std,relative_makespan_increase_min,relative_makespan_increase_max,replanning_time_ms_mean,replanning_time_ms_std,replanning_time_ms_min,replanning_time_ms_max,reassigned_tasks_mean,reassigned_tasks_std,reassigned_tasks_min,reassigned_tasks_max,changed_candidates_mean,changed_candidates_std,changed_candidates_min,changed_candidates_max,forced_candidate_changes_mean,forced_candidate_changes_std,forced_candidate_changes_min,forced_candidate_changes_max,changed_edges_mean,changed_edges_std,changed_edges_min,changed_edges_max,disruption_score_mean,disruption_score_std,disruption_score_min,disruption_score_max,accepted_candidates_mean,accepted_candidates_std,accepted_candidates_min,accepted_candidates_max,accepted_worse_candidates_mean,accepted_worse_candidates_std,accepted_worse_candidates_min,accepted_worse_candidates_max,best_updates_mean,best_updates_std,best_updates_min,best_updates_max
S,new_task_arrival,greedy,6,6,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,189.1237796263225,23.16926463041044,171.860894405275,227.637468372446,0.09389512224077066,0.13281388462118182,6.22929578443593e-05,0.307991097071898,0.22466666666666665,0.03771406457366623,0.1822,0.2854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,0.816496580927726,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,new_task_arrival,greedy_ls,6,6,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,189.1237796263225,23.16926463041044,171.860894405275,227.637468372446,0.09389512224077066,0.13281388462118182,6.22929578443593e-05,0.307991097071898,2.3116666666666665,0.18268043865358616,2.1261,2.6576,0.0,0.0,0.0,0.0,0.5,0.5477225575051661,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0954451150103321,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,robot_failure,dynamic_ails,6,1,5,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0,1.0,1.0,259.592012312464,0,259.592012312464,259.592012312464,0.51228104454087,0,0.51228104454087,0.51228104454087,1003.9718,0,1003.9718,1003.9718,4.0,0,4.0,4.0,4.0,0,4.0,4.0,0.0,0,0.0,0.0,12.0,0,12.0,12.0,0.0,0,0.0,0.0,32.0,0,32.0,32.0,16.0,0,16.0,16.0,1.0,0,1.0,1.0
S,robot_failure,global_replan,6,1,5,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0,1.0,1.0,259.592012312464,0,259.592012312464,259.592012312464,0.51228104454087,0,0.51228104454087,0.51228104454087,1004.9042,0,1004.9042,1004.9042,4.0,0,4.0,4.0,4.0,0,4.0,4.0,0.0,0,0.0,0.0,12.0,0,12.0,12.0,0.0,0,0.0,0.0,38.0,0,38.0,38.0,19.0,0,19.0,19.0,0.0,0,0.0,0.0
S,robot_failure,greedy,6,1,5,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0,1.0,1.0,262.355670069463,0,262.355670069463,262.355670069463,0.528381028520642,0,0.528381028520642,0.528381028520642,0.2772,0,0.2772,0.2772,4.0,0,4.0,4.0,2.0,0,2.0,2.0,0.0,0,0.0,0.0,10.0,0,10.0,10.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
S,robot_failure,greedy_ls,6,1,5,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0,1.0,1.0,260.793366949323,0,260.793366949323,260.793366949323,0.519279664525009,0,0.519279664525009,0.519279664525009,2.1286,0,2.1286,2.1286,4.0,0,4.0,4.0,2.0,0,2.0,2.0,0.0,0,0.0,0.0,10.0,0,10.0,10.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
S,service_location_invalidation,dynamic_ails,6,6,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,175.66809160194518,2.7594407199938016,171.669390730074,178.859085857898,0.016078597733677234,0.009421754443987334,0.0,0.0277134674059089,1003.4623,1.1751279709035949,1002.0231,1005.4118,1.3333333333333333,2.0655911179772892,0.0,4.0,2.0,1.6733200530681511,0.0,4.0,1.0,0.0,1.0,1.0,11.666666666666666,6.97614984548545,4.0,20.0,0.0,0.0,0.0,0.0,61.833333333333336,49.21957605126914,10.0,121.0,27.333333333333332,23.11420919405781,5.0,56.0,1.1666666666666667,1.1690451944500122,0.0,3.0
S,service_location_invalidation,global_replan,6,6,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,175.66809160194518,2.7594407199938016,171.669390730074,178.859085857898,0.016078597733677234,0.009421754443987334,0.0,0.0277134674059089,1005.63585,0.8692232089630335,1004.35,1006.6867,1.3333333333333333,2.0655911179772892,0.0,4.0,2.1666666666666665,1.602081978759722,0.0,4.0,1.0,0.0,1.0,1.0,12.0,7.042726744663604,4.0,20.0,0.0,0.0,0.0,0.0,68.83333333333333,58.307518097297425,7.0,150.0,28.333333333333332,26.356529867694395,1.0,66.0,4.166666666666667,1.1690451944500122,3.0,6.0
S,service_location_invalidation,greedy,6,6,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,176.24381112768984,3.0804260513802615,171.669390730074,178.859085857898,0.019398718103988116,0.011248234863892903,0.0,0.0277134674059089,0.18105000000000002,0.06844763692049566,0.1387,0.3185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,service_location_invalidation,greedy_ls,6,6,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,176.0971386834817,3.157740563876828,171.669390730074,178.859085857898,0.01854426208603595,0.011307631491471163,0.0,0.0277134674059089,1.9662166666666667,0.11150446478355323,1.8258,2.0919,0.0,0.0,0.0,0.0,0.8333333333333334,0.408248290463863,0.0,1.0,1.0,0.0,1.0,1.0,6.0,1.2649110640673518,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
