instance,scale,distribution,scenario,algorithm,objective_mode,runs,successful_runs,failed_runs,skipped_runs,feasible_rate,prefix_preservation_rate,failure_recovery_rate,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max,final_completion_makespan_mean,final_completion_makespan_std,final_completion_makespan_min,final_completion_makespan_max,relative_makespan_increase_mean,relative_makespan_increase_std,relative_makespan_increase_min,relative_makespan_increase_max,replanning_time_ms_mean,replanning_time_ms_std,replanning_time_ms_min,replanning_time_ms_max,reassigned_tasks_mean,reassigned_tasks_std,reassigned_tasks_min,reassigned_tasks_max,changed_candidates_mean,changed_candidates_std,changed_candidates_min,changed_candidates_max,forced_candidate_changes_mean,forced_candidate_changes_std,forced_candidate_changes_min,forced_candidate_changes_max,changed_edges_mean,changed_edges_std,changed_edges_min,changed_edges_max,disruption_score_mean,disruption_score_std,disruption_score_min,disruption_score_max,accepted_candidates_mean,accepted_candidates_std,accepted_candidates_min,accepted_candidates_max,accepted_worse_candidates_mean,accepted_worse_candidates_std,accepted_worse_candidates_min,accepted_worse_candidates_max,best_updates_mean,best_updates_std,best_updates_min,best_updates_max,paired_dynamic_ails_minus_greedy_mean,paired_dynamic_ails_minus_greedy_ls_mean,paired_dynamic_ails_minus_global_replan_mean
S-C,S,clustered,service_location_invalidation,dynamic_ails,minimum_makespan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,177.29474446621433,1.017406814839019,176.119944269369,177.882144564637,0.03284950474610603,0.005927012264215558,0.0260055804936359,0.0362714668723411,1002.447,0.4232908338246818,1001.9869,1002.8199,0.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.0,1.0,1.0,0.0,1.0,1.0,6.0,3.4641016151377544,4.0,10.0,0.0,0.0,0.0,0.0,36.666666666666664,11.060440015358038,25.0,47.0,16.0,5.5677643628300215,11.0,22.0,0.3333333333333333,0.5773502691896258,0.0,1.0,0.0,0.0,0.0
S-C,S,clustered,service_location_invalidation,global_replan,minimum_makespan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,177.29474446621433,1.017406814839019,176.119944269369,177.882144564637,0.03284950474610603,0.005927012264215558,0.0260055804936359,0.0362714668723411,1004.8349333333332,0.40934193937748636,1004.4991,1005.2909,0.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.0,1.0,1.0,0.0,1.0,1.0,6.0,3.4641016151377544,4.0,10.0,0.0,0.0,0.0,0.0,36.666666666666664,6.506407098647712,30.0,43.0,15.0,5.0,10.0,20.0,2.6666666666666665,0.5773502691896257,2.0,3.0,,,
S-C,S,clustered,service_location_invalidation,greedy,minimum_makespan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,177.29474446621433,1.017406814839019,176.119944269369,177.882144564637,0.03284950474610603,0.005927012264215558,0.0260055804936359,0.0362714668723411,0.1443,0.02029852211369093,0.1269,0.1666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
S-C,S,clustered,service_location_invalidation,greedy_ls,minimum_makespan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,177.29474446621433,1.017406814839019,176.119944269369,177.882144564637,0.03284950474610603,0.005927012264215558,0.0260055804936359,0.0362714668723411,1.9202666666666666,0.16946446038427454,1.799,2.1139,0.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.0,1.0,1.0,0.0,1.0,1.0,5.333333333333333,2.309401076758503,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
S-U,S,uniform,new_task_arrival,dynamic_ails,minimum_makespan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,226.59083546535032,1.8128213719632011,224.497569651159,227.637468372446,0.3019772078199607,0.010416361735447821,0.289949429316086,0.307991097071898,1003.8547,1.1417675945655876,1002.7425,1005.0239,0.3333333333333333,0.5773502691896258,0.0,1.0,1.3333333333333333,0.5773502691896257,1.0,2.0,0.0,0.0,0.0,0.0,9.333333333333334,1.1547005383792515,8.0,10.0,0.0,0.0,0.0,0.0,39.666666666666664,18.502252115170556,28.0,61.0,14.0,3.0,11.0,17.0,2.3333333333333335,2.081665999466133,0.0,4.0,-1.0466329070956608,-1.0466329070956608,0.0
S-U,S,uniform,new_task_arrival,global_replan,minimum_makespan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,226.59083546535032,1.8128213719632011,224.497569651159,227.637468372446,0.3019772078199607,0.010416361735447821,0.289949429316086,0.307991097071898,1006.6722,0.5735784601953314,1006.0187,1007.0922,0.3333333333333333,0.5773502691896258,0.0,1.0,0.6666666666666666,1.1547005383792517,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,44.0,39.35733730830886,16.0,89.0,15.0,11.357816691600547,7.0,28.0,4.333333333333333,2.309401076758503,3.0,7.0,,,
S-U,S,uniform,new_task_arrival,greedy,minimum_makespan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,227.63746837244602,0.0,227.637468372446,227.637468372446,0.307991097071898,0.0,0.307991097071898,0.307991097071898,0.2869333333333333,0.06085280053812918,0.2517,0.3572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
S-U,S,uniform,new_task_arrival,greedy_ls,minimum_makespan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,227.63746837244602,0.0,227.637468372446,227.637468372446,0.307991097071898,0.0,0.307991097071898,0.307991097071898,2.1774,0.07815004798463013,2.0992,2.2555,0.0,0.0,0.0,0.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,7.333333333333333,1.1547005383792515,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
S-U,S,uniform,robot_failure,dynamic_ails,minimum_makespan,3,0,3,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-U,S,uniform,robot_failure,global_replan,minimum_makespan,3,0,3,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-U,S,uniform,robot_failure,greedy,minimum_makespan,3,0,3,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-U,S,uniform,robot_failure,greedy_ls,minimum_makespan,3,0,3,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-U,S,uniform,service_location_invalidation,dynamic_ails,minimum_makespan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,175.64365950715,2.784640903745672,174.035946331776,178.859085857898,0.00923782246863619,0.016000377866979516,-1.63309419861009e-16,0.0277134674059089,1002.7593999999999,0.7443459074919904,1002.1773,1003.5981,0.0,0.0,0.0,0.0,1.3333333333333333,0.5773502691896257,1.0,2.0,1.0,0.0,1.0,1.0,9.333333333333334,2.309401076758503,8.0,12.0,0.0,0.0,0.0,0.0,25.333333333333332,42.146569650842686,1.0,74.0,11.0,19.05255888325765,0.0,33.0,1.3333333333333333,0.5773502691896257,1.0,2.0,0.0,0.0,0.0
S-U,S,uniform,service_location_invalidation,global_replan,minimum_makespan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,175.64365950715,2.784640903745672,174.035946331776,178.859085857898,0.00923782246863619,0.016000377866979516,-1.63309419861009e-16,0.0277134674059089,1004.8473333333333,1.4659317526179185,1003.7003,1006.4989,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,9.333333333333334,2.309401076758503,8.0,12.0,0.0,0.0,0.0,0.0,33.333333333333336,50.80682368868706,4.0,92.0,12.333333333333334,21.36195996001615,0.0,37.0,4.0,0.0,4.0,4.0,,,
S-U,S,uniform,service_location_invalidation,greedy,minimum_makespan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,175.64365950715,2.784640903745672,174.035946331776,178.859085857898,0.00923782246863619,0.016000377866979516,-1.63309419861009e-16,0.0277134674059089,0.1394,0.010934349546269317,0.1324,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.6666666666666665,1.1547005383792515,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
S-U,S,uniform,service_location_invalidation,greedy_ls,minimum_makespan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,175.64365950715,2.784640903745672,174.035946331776,178.859085857898,0.00923782246863619,0.016000377866979516,-1.63309419861009e-16,0.0277134674059089,1.9667333333333332,0.07808772844265188,1.882,2.0358,0.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.0,1.0,1.0,0.0,1.0,1.0,4.0,3.4641016151377544,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
