scenario_id,instance,scenario,progress,seed,static_plan_changed,arrival_membership_changed,old_released_group_ids,new_released_group_ids,invalidated_group_changed,old_invalidated_group_id,new_invalidated_group_id,invalidated_node_changed,old_invalidated_node_id,new_invalidated_node_id,failed_robot_changed,old_failed_robot_id,new_failed_robot_id
M_C__service_location_invalidation__p050__seed2,M-C,service_location_invalidation,0.5,2,True,False,,,True,4,36,True,17,144,False,-1,-1
M_C__service_location_invalidation__p075__seed0,M-C,service_location_invalidation,0.75,0,True,False,,,True,48,19,True,194,78,False,-1,-1
M_C__service_location_invalidation__p075__seed1,M-C,service_location_invalidation,0.75,1,True,False,,,True,48,12,True,194,50,False,-1,-1
M_C__service_location_invalidation__p075__seed2,M-C,service_location_invalidation,0.75,2,True,False,,,True,33,21,True,135,85,False,-1,-1
M_U__new_task_arrival__p050__seed0,M-U,new_task_arrival,0.5,0,True,False,50;51;52;53;54,50;51;52;53;54,False,-1,-1,False,-1,-1,False,-1,-1
M_U__new_task_arrival__p050__seed1,M-U,new_task_arrival,0.5,1,True,False,50;51;52;53;54,50;51;52;53;54,False,-1,-1,False,-1,-1,False,-1,-1
M_U__new_task_arrival__p050__seed2,M-U,new_task_arrival,0.5,2,True,False,50;51;52;53;54,50;51;52;53;54,False,-1,-1,False,-1,-1,False,-1,-1
M_U__robot_failure__p050__seed0,M-U,robot_failure,0.5,0,True,False,,,False,-1,-1,False,-1,-1,True,3,2
M_U__robot_failure__p050__seed1,M-U,robot_failure,0.5,1,True,False,,,False,-1,-1,False,-1,-1,True,3,2
M_U__robot_failure__p050__seed2,M-U,robot_failure,0.5,2,True,False,,,False,-1,-1,False,-1,-1,False,0,0
M_U__service_location_invalidation__p050__seed0,M-U,service_location_invalidation,0.5,0,True,False,,,False,47,47,False,191,191,False,-1,-1
M_U__service_location_invalidation__p050__seed1,M-U,service_location_invalidation,0.5,1,True,False,,,True,47,38,True,191,154,False,-1,-1
M_U__service_location_invalidation__p050__seed2,M-U,service_location_invalidation,0.5,2,True,False,,,False,47,47,False,191,191,False,-1,-1
S_C__new_task_arrival__p050__seed0,S-C,new_task_arrival,0.5,0,True,False,20;21,20;21,False,-1,-1,False,-1,-1,False,-1,-1
S_C__new_task_arrival__p050__seed1,S-C,new_task_arrival,0.5,1,True,False,20;21,20;21,False,-1,-1,False,-1,-1,False,-1,-1
S_C__new_task_arrival__p050__seed2,S-C,new_task_arrival,0.5,2,True,False,20;21,20;21,False,-1,-1,False,-1,-1,False,-1,-1
S_C__robot_failure__p050__seed0,S-C,robot_failure,0.5,0,True,False,,,False,-1,-1,False,-1,-1,False,0,0
S_C__robot_failure__p050__seed1,S-C,robot_failure,0.5,1,True,False,,,False,-1,-1,False,-1,-1,False,0,0
S_C__robot_failure__p050__seed2,S-C,robot_failure,0.5,2,True,False,,,False,-1,-1,False,-1,-1,False,0,0
S_C__service_location_invalidation__p050__seed0,S-C,service_location_invalidation,0.5,0,True,False,,,True,10,5,True,32,15,False,-1,-1
S_C__service_location_invalidation__p050__seed1,S-C,service_location_invalidation,0.5,1,True,False,,,True,18,4,True,56,13,False,-1,-1
S_C__service_location_invalidation__p050__seed2,S-C,service_location_invalidation,0.5,2,True,False,,,True,4,5,True,13,15,False,-1,-1
S_U__new_task_arrival__p050__seed0,S-U,new_task_arrival,0.5,0,True,False,20;21,20;21,False,-1,-1,False,-1,-1,False,-1,-1
S_U__new_task_arrival__p050__seed1,S-U,new_task_arrival,0.5,1,True,False,20;21,20;21,False,-1,-1,False,-1,-1,False,-1,-1
S_U__new_task_arrival__p050__seed2,S-U,new_task_arrival,0.5,2,True,False,20;21,20;21,False,-1,-1,False,-1,-1,False,-1,-1
S_U__robot_failure__p050__seed0,S-U,robot_failure,0.5,0,True,False,,,False,-1,-1,False,-1,-1,False,0,0
S_U__robot_failure__p050__seed1,S-U,robot_failure,0.5,1,True,False,,,False,-1,-1,False,-1,-1,False,0,0
S_U__robot_failure__p050__seed2,S-U,robot_failure,0.5,2,True,False,,,False,-1,-1,False,-1,-1,False,0,0
S_U__service_location_invalidation__p050__seed0,S-U,service_location_invalidation,0.5,0,True,False,,,False,3,3,False,11,11,False,-1,-1
S_U__service_location_invalidation__p050__seed1,S-U,service_location_invalidation,0.5,1,True,False,,,True,3,1,True,11,4,False,-1,-1
S_U__service_location_invalidation__p050__seed2,S-U,service_location_invalidation,0.5,2,True,False,,,True,3,1,True,11,4,False,-1,-1
