method,scenario_count,algorithm_seeds_per_scenario,win_count,tie_count,loss_count,mean_paired_relative_reduction_percent,median_paired_relative_reduction_percent,aggregate_greedy_mean_cost,aggregate_seed_averaged_method_mean_cost,aggregate_mean_reduction_percent,bootstrap_ci_low_percent,bootstrap_ci_high_percent,bootstrap_resamples,bootstrap_seed,tie_tolerance_absolute,within_seed_sd_mean,within_seed_sd_median,within_seed_sd_min,within_seed_sd_max
dynamic_ails,66,10,46,20,0,1.856777317096401,0.7016098212857216,144.7096532262578,141.76282128736437,2.0363755099917076,1.2138185213302368,2.566959877583874,10000,20260723,1e-09,0.962687099220297,0.14023760115809747,0.0,7.537864145847478
global_replan,66,10,25,13,28,-2.30788409024975,0.0,144.7096532262578,146.39081898355718,-1.1617509404647772,-4.221425690937214,-0.4464632667516255,10000,20260723,1e-09,2.2395711728319783,1.1980129463082072,0.0,11.340120816374275
