progress,scenario,algorithm,runs,successful_runs,failed_runs,skipped_runs,feasible_rate,prefix_preservation_rate,failure_recovery_rate,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max,final_completion_makespan_mean,final_completion_makespan_std,final_completion_makespan_min,final_completion_makespan_max,relative_makespan_increase_mean,relative_makespan_increase_std,relative_makespan_increase_min,relative_makespan_increase_max,replanning_time_ms_mean,replanning_time_ms_std,replanning_time_ms_min,replanning_time_ms_max,reassigned_tasks_mean,reassigned_tasks_std,reassigned_tasks_min,reassigned_tasks_max,changed_candidates_mean,changed_candidates_std,changed_candidates_min,changed_candidates_max,forced_candidate_changes_mean,forced_candidate_changes_std,forced_candidate_changes_min,forced_candidate_changes_max,changed_edges_mean,changed_edges_std,changed_edges_min,changed_edges_max,disruption_score_mean,disruption_score_std,disruption_score_min,disruption_score_max,accepted_candidates_mean,accepted_candidates_std,accepted_candidates_min,accepted_candidates_max,accepted_worse_candidates_mean,accepted_worse_candidates_std,accepted_worse_candidates_min,accepted_worse_candidates_max,best_updates_mean,best_updates_std,best_updates_min,best_updates_max
0.25,new_task_arrival,dynamic_ails,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,120.160569371141,0.1103150058774499,120.096878972802,120.287950167819,0.0005692163808098111,0.0009138203663566502,4.16219463028366e-05,0.00162440524982376,1085.5254000000002,26.28056867250026,1055.7164,1105.3529,0.3333333333333333,0.5773502691896258,0.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,19.0,6.0,13.0,25.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.5773502691896257,2.0,3.0,0.6666666666666666,0.5773502691896257,0.0,1.0,1.3333333333333333,0.5773502691896257,1.0,2.0
0.25,new_task_arrival,global_replan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,145.10906804253366,2.108410358633288,143.300226359432,147.424680956234,0.20831375115405035,0.017557837707739676,0.193254912362986,0.227599071011473,1194.9785666666667,43.478446336700365,1145.8117,1228.3563,5.666666666666667,3.5118845842842465,2.0,9.0,13.333333333333334,1.5275252316519468,12.0,15.0,0.0,0.0,0.0,0.0,59.0,8.0,51.0,67.0,0.0,0.0,0.0,0.0,8.666666666666666,1.1547005383792515,8.0,10.0,1.3333333333333333,0.5773502691896257,1.0,2.0,6.666666666666667,0.5773502691896257,6.0,7.0
0.25,new_task_arrival,greedy,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,121.46181032688634,1.5265790002328872,120.096878972802,123.110280788042,0.01140453008794387,0.01270719521889161,4.16219463028366e-05,0.0251256389557375,5.570399999999999,1.7284522353828582,4.4465,7.5607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.333333333333334,1.1547005383792515,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,new_task_arrival,greedy_ls,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,121.46181032688634,1.5265790002328872,120.096878972802,123.110280788042,0.01140453008794387,0.01270719521889161,4.16219463028366e-05,0.0251256389557375,13.686399999999999,0.23725267121783938,13.4485,13.923,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.666666666666666,1.1547005383792515,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,robot_failure,dynamic_ails,3,3,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,155.83072180586834,7.448847465754964,147.970939054763,162.78603710166,0.2975920915589367,0.062021019468289515,0.232147739049529,0.355501256505309,1071.4457,25.137565758839866,1045.3021,1095.4391,11.0,1.0,10.0,12.0,7.666666666666667,0.5773502691896257,7.0,8.0,0.0,0.0,0.0,0.0,37.333333333333336,2.309401076758503,36.0,40.0,0.0,0.0,0.0,0.0,7.333333333333333,0.5773502691896257,7.0,8.0,2.6666666666666665,0.5773502691896257,2.0,3.0,3.6666666666666665,0.5773502691896257,3.0,4.0
0.25,robot_failure,global_replan,3,3,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,159.18319212676735,8.89987427146507,152.308454557892,169.235789521556,0.3255078222519467,0.07410231398341008,0.268266046836272,0.409207628777622,1142.4153,15.725698417876416,1125.0754,1155.7536,14.0,2.0,12.0,16.0,15.333333333333334,0.5773502691896257,15.0,16.0,0.0,0.0,0.0,0.0,61.333333333333336,4.163331998932266,58.0,66.0,0.0,0.0,0.0,0.0,6.666666666666667,1.5275252316519465,5.0,8.0,1.6666666666666667,1.5275252316519468,0.0,3.0,4.666666666666667,0.5773502691896257,4.0,5.0
0.25,robot_failure,greedy,3,3,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,167.82615596791766,18.477547749061824,156.944791147916,189.16075845949,0.39747695991360804,0.1538542595841276,0.306872625150651,0.575120632816981,6.671133333333334,0.7432301819310984,5.8259,7.2225,9.0,0.0,9.0,9.0,6.666666666666667,0.5773502691896257,6.0,7.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,robot_failure,greedy_ls,3,3,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,165.68014359454068,14.760857541313067,156.944791147916,182.722721339359,0.3796073531562943,0.122905793175256,0.306872625150651,0.52151181254504,14.376766666666667,0.4830455085531111,14.0023,14.922,9.0,0.0,9.0,9.0,6.666666666666667,1.1547005383792515,6.0,8.0,0.0,0.0,0.0,0.0,23.333333333333332,2.309401076758503,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,service_location_invalidation,dynamic_ails,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,120.39975264913666,0.53325017855937,120.091880515,121.01549691741,0.002560868750927889,0.004435554788122961,-2.36666370020362e-16,0.00768260625278414,1030.9497666666666,0.7193809167146964,1030.3958,1031.7628,0.0,0.0,0.0,0.0,1.6666666666666667,0.5773502691896257,1.0,2.0,1.0,0.0,1.0,1.0,12.666666666666666,5.033222956847166,8.0,18.0,0.0,0.0,0.0,0.0,3.6666666666666665,5.507570547286102,0.0,10.0,1.6666666666666667,2.0816659994661326,0.0,4.0,0.6666666666666666,1.1547005383792517,0.0,2.0
0.25,service_location_invalidation,global_replan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,130.15847400665166,7.42392232789119,123.550453743416,138.191667353272,0.0838211513330795,0.061819535172941045,0.0287993927115225,0.15071615800047,1131.9011333333333,24.97725991723944,1111.6488,1159.8106,4.333333333333333,4.041451884327381,0.0,8.0,13.0,3.605551275463989,10.0,17.0,1.0,0.0,1.0,1.0,54.0,15.874507866387544,36.0,66.0,0.0,0.0,0.0,0.0,10.333333333333334,2.516611478423583,8.0,13.0,0.3333333333333333,0.5773502691896258,0.0,1.0,9.666666666666666,3.511884584284246,6.0,13.0
